t_s,df_hz
8.4,-0.03713885492057705
8.41,-0.03713889684407532
8.42,-0.03713893483960712
8.43,-0.03713896905354725
8.44,-0.037138999634500264
8.45,-0.037139026732902536
8.46,-0.037139050500662095
8.47,-0.0371390710907579
8.48,-0.0371390886568683
8.49,-0.03713910335299014
8.5,-0.03713911533309944
8.51,-0.03713912475082665
8.52,-0.03713913175904688
8.53,-0.03713913650952943
8.54,-0.037139139152711616
8.55,-0.037139139837257
8.56,-0.03713913870984407
8.57,-0.037139135914805735
8.58,-0.03713913159387057
8.59,-0.03713912588591404
8.6,-0.0371391189266349
8.61,-0.03713911084838637
8.62,-0.03713910177989278
8.63,-0.03713909184599874
8.64,-0.03713908116756022
8.65,-0.03713906986116868
8.66,-0.037139058039051584
8.67,-0.03713904580881423
8.68,-0.03713903327340434
8.69,-0.037139020530881764
8.7,-0.03713900767440047
8.71,-0.03713899479200834
8.72,-0.03713898196661394
8.73,-0.037138969275966195
8.74,-0.037138956792488985
8.75,-0.03713894458329255
8.76,-0.03713893271019621
8.77,-0.03713892122965817
8.78,-0.037138910192779664
8.79,-0.03713889964534053
8.8,-0.03713888962781204
8.81,-0.03713888017541531
8.82,-0.0371388713181756
8.83,-0.03713886308095027
8.84,-0.03713885548352794
8.85,-0.03713884854082516
8.86,-0.03713884226279201
8.87,-0.03713883665465516
8.88,-0.03713883171701138
8.89,-0.03713882744594981
8.9,-0.037138823833194064
8.91,-0.037138820866239104
8.92,-0.03713881852853163
8.93,-0.03713881679966575
8.94,-0.037138815655375114
8.95,-0.03713881506798708
8.96,-0.037138815006374136
8.97,-0.03713881543624488
8.98,-0.037138816320302345
8.99,-0.03713881761846003
9.0,-0.03713881928799513
9.01,-0.03713882128381743
9.02,-0.03713882355856219
9.03,-0.037138826062931084
9.04,-0.03713882874580186
9.05,-0.037138831554420236
9.06,-0.03713883443468714
9.07,-0.037138837331271414
9.08,-0.03713884018789623
9.09,-0.03713884294745238
9.1,-0.03713884555225189
9.11,-0.037138847944200956
9.12,-0.037138850064999035
9.13,-0.03713885185633304
9.14,-0.03713885326004255
9.15,-0.03713885421826981
9.16,-0.03713885467379979
9.17,-0.03713885456994766
9.18,-0.03713885385100514
9.19,-0.037138852462152316
9.2,-0.037138850349834114
